Datetime,Open,High,Low,Close,MA50
10/31/07 0:00,1.44376,1.45035,1.44172,1.44671,1.4084044
11/1/07 0:00,1.44688,1.44788,1.43995,1.4423,1.4101168
11/2/07 0:00,1.44234,1.45273,1.44184,1.45033,1.4117186
11/4/07 0:00,1.45132,1.45234,1.4499,1.45023,1.413424
11/5/07 0:00,1.45002,1.45095,1.44406,1.4475,1.4150482
11/6/07 0:00,1.44746,1.45706,1.44654,1.45593,1.4164668
11/7/07 0:00,1.45623,1.47294,1.45495,1.46203,1.418031
11/8/07 0:00,1.46218,1.47027,1.46159,1.46762,1.4196902
11/9/07 0:00,1.46761,1.47519,1.46286,1.46725,1.4213682
11/11/07 0:00,1.46701,1.46758,1.46322,1.46558,1.4229276
11/12/07 0:00,1.46544,1.46632,1.45168,1.45178,1.4244972
11/13/07 0:00,1.4521,1.46325,1.45172,1.46182,1.4257872
11/14/07 0:00,1.46171,1.47245,1.46092,1.46492,1.4273066
11/15/07 0:00,1.4649,1.47038,1.46009,1.46174,1.4288752
11/16/07 0:00,1.46181,1.46721,1.45786,1.46584,1.4301604
11/18/07 0:00,1.46689,1.46733,1.46618,1.4667,1.4315328
11/19/07 0:00,1.46682,1.46884,1.4617,1.46656,1.4327328
11/20/07 0:00,1.46657,1.48517,1.46303,1.48295,1.433887
11/21/07 0:00,1.48294,1.48689,1.47707,1.48547,1.4353658
11/22/07 0:00,1.48551,1.4873,1.48185,1.48502,1.4369344
11/23/07 0:00,1.48495,1.49646,1.47816,1.48358,1.438344
11/25/07 0:00,1.48193,1.48381,1.48159,1.48322,1.439763
11/26/07 0:00,1.48342,1.48869,1.48011,1.4871,1.4411186
11/27/07 0:00,1.48707,1.49078,1.48061,1.48332,1.4423294
11/28/07 0:00,1.48337,1.48579,1.47078,1.48372,1.4434614
11/29/07 0:00,1.48368,1.48442,1.47188,1.47561,1.444676
11/30/07 0:00,1.47552,1.47849,1.46231,1.46315,1.4458848
12/2/07 0:00,1.4636,1.46653,1.46338,1.46583,1.4469556
12/3/07 0:00,1.46585,1.47077,1.4618,1.46682,1.4480038
12/4/07 0:00,1.46673,1.47688,1.46315,1.47609,1.449073
12/5/07 0:00,1.47599,1.47701,1.45905,1.45932,1.4502986
12/6/07 0:00,1.4595,1.46593,1.45234,1.4655,1.451397
12/7/07 0:00,1.46557,1.46725,1.45946,1.46534,1.4524972
12/9/07 0:00,1.46539,1.46581,1.46443,1.46508,1.4535294
12/10/07 0:00,1.46512,1.47356,1.46361,1.47072,1.4544364
